item-name,item-label,img-label,img-url
MS-RAS-00258,RAS Persian 258,7v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00020.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,8r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00021.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,8v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00022.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,9r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00023.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,9v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00024.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,10r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00025.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,10v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00026.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,11r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00027.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,11v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00028.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,12r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00029.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,12v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00030.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,13r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00031.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,13v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00032.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,14r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00033.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,14v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00034.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,15r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00035.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,15v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00036.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,16r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00037.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,16v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00038.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,17r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00039.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,17v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00040.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,18r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00041.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,18v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00042.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,19r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00043.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,19v,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00044.jp2/full/max/0/default.jpg
MS-RAS-00258,RAS Persian 258,20r,https://images.lib.cam.ac.uk/iiif/MS-RAS-00258-000-00045.jp2/full/max/0/default.jpg
