item-name,item-label,img-label,img-url
MS-NN-00003-00074,MS Nn.3.74,20r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00041.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,20v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00042.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,21r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00043.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,21v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00044.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,22r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00045.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,22v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00046.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,23r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00047.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,23v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00048.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,24r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00049.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,24v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00050.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,25r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00051.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,25v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00052.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,26r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00053.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,26v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00054.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,27r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00055.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,27v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00056.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,28r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00057.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,28v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00058.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,29r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00059.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,29v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00060.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,30r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00061.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,30v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00062.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,31r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00063.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,31v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00064.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,32r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00065.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,32v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00066.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,33r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00067.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,33v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00068.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,34r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00069.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,34v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00070.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,35r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00071.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,35v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00072.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,36r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00073.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,36v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00074.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,37r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00075.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,37v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00076.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,38r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00077.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,38v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00078.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,39r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00079.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,39v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00080.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,40r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00081.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,40v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00082.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,41r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00083.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,41v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00084.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,42r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00085.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,42v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00086.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,43r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00087.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,43v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00088.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,44r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00089.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,44v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00090.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,45r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00091.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,45v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00092.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,46r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00093.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,46v,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00094.jp2/full/max/0/default.jpg
MS-NN-00003-00074,MS Nn.3.74,47r,https://images.lib.cam.ac.uk/iiif/MS-NN-00003-00074-000-00095.jp2/full/max/0/default.jpg
